,title,link
107,"Black Lives Matter, Benin Bronzes and Britishness: how can ...",https://advisor.museumsandheritage.com/features/black-lives-matter-benin-bronzes-and-britishness-how-can-uk-museums-decolonise/
108,Germany officially agrees to hand back looted Benin bronzes ...,https://heritagetribune.eu/world/germany-officially-agrees-to-hand-back-looted-benin-bronzes-to-nigeria/
109,Restitution culturelle : Benin City à l'avant-garde - Le Point,https://www.lepoint.fr/culture/restitution-culturelle-benin-city-a-l-avant-garde-07-01-2019-2283782_3.php
110,"The ""Benin Plan of action for restitution"" and what it means for ...",http://www.elginism.com/similar-cases/the-benin-plan-of-action-for-restitution-and-what-it-means-for-the-return-of-disputed-artefacts/20130228/6897/
111,"History, restitution and justice for African nations | odi.org",https://odi.org/en/insights/history-restitution-and-justice-for-african-nations/
112,Nigeria | No Humboldt 21,https://www.no-humboldt21.de/information/nigeria/
113,"In Germany, the Humboldt Forum stirs up a colonial controversy",https://www.nationalgeographic.com/history/article/germany-humboldt-forum-stirs-colonial-controversy
114,The new Benin Royal Museum to see the temporary restitution ...,https://www.art-critique.com/en/2018/11/the-new-benin-royal-museum-to-see-the-temporary-restitution-of-art-and-artifacts/
115,Art Restitution Regaining Momentum: What Holds Museums ...,https://magazine.artland.com/art-restitution-regaining-momentum-what-holds-museums-back/
116,Why African Artists and Curators Want Action from Museums ...,https://time.com/5901806/african-artifacts-museums/
117,Benin and Senegal: French MPs move closer to returning ...,https://www.theafricareport.com/45394/benin-and-senegal-french-deputies-approve-restitution-of-cultural-property/
118,Reflecting on the Restitution of Art from the Benin Kingdom in ...,https://deyoung.famsf.org/calendar/reflecting-restitution-art-benin-kingdom-wake-sarr-savoy-report
119,LILY SAINT - The West Must Return the Artifacts They Stole ...,https://www.theelephant.info/op-eds/2021/06/04/the-west-must-return-the-artifacts-they-stole-back-to-africa/
120,"Virtual Event: A Conversation with Dan Hicks (curator, Pitt ...",https://www.brynmawr.edu/gsas/virtual-event-conversation-dan-hicks-curator-pitt-rivers-museum-brutish-museums-benin-bronzes
121,What are “the Benin Bronzes” and where are they now?,https://liberalarts.du.edu/art-collection-ethics/news-events/all-articles/what-are-benin-bronzes-and-where-are-they-now
122,The Long Fight for the Restitution of African Artifacts | Condé ...,https://www.cntraveler.com/story/the-long-fight-for-restitution
123,French Parliament votes to return stolen artefacts to Benin and ...,https://www.france24.com/en/20201007-french-parliament-votes-to-return-stolen-artefacts-to-benin-and-senegal
124,University Of Aberdeen And German Museums To Repatriate ...,https://www.thevintagenews.com/2021/05/05/benin-bronzes-repatriation/
125,The Met Museum to return two Benin City artifacts to Nigeria ...,https://www.optimistdaily.com/2021/06/the-met-museum-to-return-two-benin-city-artifacts-to-nigeria/
126,Should Britain send back the Benin Bronzes? | The New ...,https://www.theneweuropean.co.uk/brexit-news/the-story-of-the-benin-bronzes-7989816
127,Germany Agrees To Return Benin Bronzes To Nigeria Starting ...,https://www.npr.org/2021/04/30/992496264/germany-will-repatriate-benin-bronzes-plundered-from-africa-in-the-19th-century
128,Returned artefacts: Asset or burden? | The Nation Nigeria,https://thenationonlineng.net/returned-artefacts-asset-or-burden/
129,Book review: Timely anthology on South-east Asian artefact ...,https://www.straitstimes.com/life/arts/book-review-timely-anthology-on-south-east-asian-artefact-repatriation
130,Germany To Return Looted Benin Bronzes To Nigeria - The ...,https://www.theculturenewspaper.com/germany-to-return-looted-benin-bronzes-to-nigeria/
131,Africa's cultural heritage and case for restitution - New Telegraph,https://www.newtelegraphng.com/africas-cultural-heritage-and-case-for-restitution/
132,Le Met va rendre au Nigeria deux bronzes pillés au XIXe siècle,https://www.lefigaro.fr/culture/le-met-va-rendre-au-nigeria-deux-bronzes-pilles-au-xixe-siecle-20210611
133,"Benin-Bronzen: Politik plant ab 2022 ""substantielle ...","https://www.br.de/nachrichten/kultur/benin-bronzen-politik-plant-ab-2022-substantielle-rueckgaben,SVyWgAc"
134,Is Germany promising to return artefacts looted from Benin?,https://news366.eu/f/is-germany-promising-to-return-artefacts-looted-from-benin
135,"Restitution au Nigeria des ""bronzes du Benin"" en 2022 par l ...",https://afriquereveil.com/restitution-au-nigeria-des-bronzes-du-benin-en-2022-par-lallemagne
136,American Alliance of Museums,https://www.aam-us.org/
137,Benin-Bronzen: Eine Stadt in Nigeria träumt von der ... - NZZ,https://www.nzz.ch/international/benin-bronzen-eine-stadt-in-nigeria-traeumt-von-der-renaissance-ld.1624048
138,Colonial encounters - University of Cambridge,https://www.cam.ac.uk/stories/re-entanglements-exhibition-maa
139,"Germany Set to Return Stolen Benin Bronze Statues, Seeks ...",https://www.thebreakingtimes.com/germany-set-to-return-stolen-benin-bronze-statues-seeks-reconciliation/
140,Nigeria: Benin Bronzes - the Long Journey Home - allAfrica.com,https://allafrica.com/stories/202106060124.html
141,Stolen art,http://aaj.moscatocanelli.it/stolen-art.html
142,Book review: Timely anthology on South-east Asian artefact ...,https://ipodjewelry.com/book-review-timely-anthology-on-south-east-asian-artefact-repatriation-arts-news-top-stories/
143,Two 'Benin Bronzes' due to return to Nigeria were made in ...,https://www.dailymail.co.uk/news/article-9498851/Two-Benin-Bronzes-return-Nigeria-1980s-no-links-colonialism.html
144,Germany Vows To Return Benin Artifacts – Control TV,https://controltv.ng/germany-vows-to-return-benin-artifacts/
145,アズワン 撹拌子 F37120-1060 3-8588-01,https://www.mediaesocieta.net/148551783078/M_zViMjhmMj
146,Stolen art,http://crph.discotechetop.it/stolen-art.html
147,The Best Movies From the 2016 Cannes Film Festival,https://www.highsnobiety.com/p/best-cannes-movies-2016/
148,The violence of colonialism makes its way into the collective ...,https://marketresearchtelecast.com/the-violence-of-colonialism-makes-its-way-into-the-collective-memory-of-europe/70108/
149,Archives des pillés - Crumpa,https://www.crumpa.com/tag/pilles/
150,Ep 45 - Graphic Design in Propaganda by Bet You Wish This ...,https://anchor.fm/bywartpod/episodes/Ep-45---Graphic-Design-in-Propaganda-eolokd
151,Ep 36 - The Hanging Gardens of Babylon by Bet You Wish ...,https://anchor.fm/bywartpod/episodes/Ep-36---The-Hanging-Gardens-of-Babylon-em2pia
152,Mary Beard On Roman Emperor Nero The Week In Art podcast,https://player.fm/series/the-week-in-art/mary-beard-on-roman-emperor-nero
