,surname,count,"Asian,GreaterEastAsian,EastAsian","Asian,GreaterEastAsian,Japanese","Asian,IndianSubContinent","GreaterAfrican,Africans","GreaterAfrican,Muslim","GreaterEuropean,British","GreaterEuropean,EastEuropean","GreaterEuropean,Jewish","GreaterEuropean,WestEuropean,French","GreaterEuropean,WestEuropean,Germanic","GreaterEuropean,WestEuropean,Hispanic","GreaterEuropean,WestEuropean,Italian","GreaterEuropean,WestEuropean,Nordic",race,african
2993,du patrimoine,1,0.00045662725,5.69694e-05,0.00022138741,0.0039534722,0.006650969,0.0058248662,0.0049565877,0.0025774934,0.9384152,0.0036723292,0.001735569,0.02262273,0.00885589,"GreaterEuropean,WestEuropean,French",Non-African
2994,du quai branly,1,0.0011979544,0.00072278397,0.0003606433,0.0013126557,0.0005072722,0.23433995,0.0010594388,0.0010105476,0.72763044,0.004038815,0.012823717,0.011992227,0.003003609,"GreaterEuropean,WestEuropean,French",Non-African
2995,duban louis-tullius-joachim,1,0.0006847247,0.0037884768,0.0005264936,0.0033362752,0.00014653952,0.95172936,0.00014849173,0.0007165729,0.012605167,0.0017927261,0.0215032,0.0024608045,0.00056121807,"GreaterEuropean,British",Non-African
2996,dudley,1,0.0035310339,0.00015701013,0.025354927,0.0047719856,0.00063435466,0.8903017,0.0032468988,0.008141672,0.04493682,0.006642853,0.008158889,0.0034383617,0.00068343675,"GreaterEuropean,British",Non-African
2997,dugan stacey,1,0.0030840377,0.00045508062,0.0019306988,0.003726799,0.0067986017,0.6395295,0.007816073,0.015535214,0.22386485,0.05201143,0.009340552,0.03350839,0.002398677,"GreaterEuropean,British",Non-African
2998,duncan,1,0.006333123,0.0023551541,0.008994228,0.002182063,0.0034840298,0.8909914,0.000361223,0.0070940773,0.052836254,0.00088965823,0.00646482,0.017003862,0.0010102019,"GreaterEuropean,British",Non-African
2999,dutton,1,0.0019176049,0.00086680864,0.009217631,0.00093698397,0.0016763572,0.8623279,0.0007982453,0.012183012,0.096944906,0.0012733117,0.0047985404,0.0050654686,0.0019931684,"GreaterEuropean,British",Non-African
3000,elam,1,0.000837314,0.0008628113,0.00391162,0.031708226,0.16052717,0.6243942,0.007928513,0.12503849,0.013332711,0.004784543,0.016885832,0.006061178,0.0037273238,"GreaterEuropean,British",Non-African
3001,elba,1,0.0024224494,0.003207446,0.15883988,0.062079772,0.1408138,0.06556192,0.10231538,0.16356915,0.06932682,0.04808269,0.039553285,0.09533518,0.04889218,"GreaterEuropean,Jewish",Non-African
3002,donohue,1,0.21520972,0.12744398,0.02382476,0.22005947,0.0028395848,0.2523624,0.0050917575,0.045726955,0.07759345,0.011208501,0.005427396,0.012370612,0.00084136316,"GreaterEuropean,British",Non-African
